School Name,School Type,Address,Postcode,Phone #,LGA Name
Templestowe Valley Primary School,Primary,15 Birchwood Avenue,3107,03 8850 5777,Manningham (C)
Highvale Primary School,Primary,33 Ashton Street,3150,03 9887 8000,Monash (C)
Watsonia North Primary School,Primary,16 Sharpes Road,3087,03 9435 1285,Banyule (C)
Wooranna Park Primary School,Primary,89-105 Carlton Road,3175,03 9795 2007,Greater Dandenong (C)
Knox Park Primary School,Primary,Kathryn Road,3180,03 9763 6533,Knox (C)
Birralee Primary School,Primary,Heyington Avenue,3108,03 9848 4996,Manningham (C)
Ararat North Primary School,Primary,66 Blake Street,3377,03 5352 3766,Ararat (RC)
Derinya Primary School,Primary,Overport Road,3199,03 9787 3633,Frankston (C)
Thomastown West Primary School,Primary,98-112 Main Street,3074,03 9465 4317,Whittlesea (C)
Rowville Primary School,Primary,Paratea Drive,3178,03 9764 1955,Knox (C)
Mossfiel Primary School,Primary,Langridge Street,3029,03 9749 1227,Wyndham (C)
Templestowe Heights Primary School,Primary,276-300 High Street,3107,03 9850 1796,Manningham (C)
Ballam Park Primary School,Primary,Belar Avenue,3199,03 9789 5614,Frankston (C)
Sunbury West Primary School,Primary,479-491 Elizabeth Drive,3429,03 9740 8666,Hume (C)
Gladstone Park Primary School,Primary,15 - 25 South Circular Road,3043,03 9338 2774,Hume (C)
Manchester Primary School,Primary,Monomeith Street,3138,03 9726 6931,Yarra Ranges (S)
Glendal Primary School,Primary,55 Nottingham Street,3150,03 9803 1330,Monash (C)
Bimbadeen Heights Primary School,Primary,118 Hayrick Lane,3138,03 9726 9989,Yarra Ranges (S)
Wattle View Primary School,Primary,Wattletree Road,3156,03 9758 4322,Knox (C)
Sherbourne Primary School,Primary,Outlook Crescent,3088,03 9434 7142,Banyule (C)
Donburn Primary School,Primary,Colchester Drive,3109,03 9841 8099,Manningham (C)
Guthrie Street Primary School Shepparton,Primary,33-69 Guthrie Street,3630,03 5821 1944,Greater Shepparton (C)
Araluen Primary School,Primary,Patten Street,3850,03 5144 2111,Wellington (S)
Vermont South Special School,Special,22-30 Livingstone Road,3133,03 9802 8199,Whitehorse (C)
Concord School,Special,411 Grimshaw Street,3083,03 9467 3972,Banyule (C)
Deer Park West Primary School,Primary,Quinn Street,3023,03 9363 3519,Brimbank (C)
Campbellfield Heights Primary School,Primary,1-13 Laurel Crescent,3061,03 9359 5502,Hume (C)
Lalor North Primary School,Primary,2 Derna Crescent,3075,03 9465 4922,Whittlesea (C)
Melton West Primary School,Primary,4 Westmelton Drive,3337,03 9743 5818,Melton (C)
Diamond Creek East Primary School,Primary,129-163 Main Hurstbridge Road,3089,03 9438 1413,Nillumbik (S)
Brandon Park Primary School,Primary,1-5 Ninevah Crescent,3150,03 9560 4423,Monash (C)
Bayswater West Primary School,Primary,Phyllis Street,3153,03 9729 3394,Knox (C)
Mornington Park Primary School,Primary,Robertson Drive,3931,03 5975 4011,Mornington Peninsula (S)
Wodonga South Primary School,Primary,15 Cartwright Street,3690,02 6056 3255,Wodonga (C)
Aldercourt Primary School,Primary,Silver Avenue,3200,03 9786 4488,Frankston (C)
Richmond West Primary School,Primary,25 Lennox Street,3121,03 9427 8736,Yarra (C)
Marlborough Primary School,Primary,Hardy Crescent,3135,03 9870 3468,Maroondah (C)
Stevensville Primary School,Primary,52 Kings Road,3021,03 9366 1381,Brimbank (C)
Birmingham Primary School,Primary,43-49 Francis Crescent,3796,03 9736 3260,Yarra Ranges (S)
Woodville Primary School,Primary,33-57 Warringa Crescent,3029,03 9749 2770,Wyndham (C)
Glengala Primary School,Primary,Talintyre Road,3020,03 9311 7810,Brimbank (C)
Karingal Heights Primary School,Primary,Havana Crescent,3199,03 9789 3288,Frankston (C)
Wallarano Primary School,Primary,38-64 Wallarano Drive,3174,03 9798 1890,Greater Dandenong (C)
Victoria Road Primary School,Primary,44 Victoria Road,3140,03 9735 4670,Yarra Ranges (S)
Mooroolbark East Primary School,Primary,Taylor Road,3138,03 9726 9422,Yarra Ranges (S)
Ardeer South Primary School,Primary,59-75 Murray Street,3020,03 9363 2768,Brimbank (C)
Gladesville Primary School,Primary,48 Gladesville Drive,3137,03 9728 1877,Yarra Ranges (S)
Falls Creek Primary School,Primary,15 Slalom Street,3699,03 5758 3311,Unincorporated Vic
Debney Meadows Primary School,Primary,100 Victoria Street,3031,03 9376 1570,Moonee Valley (C)
Fountain Gate Primary School,Primary,Prospect Hill Road,3805,03 9703 1187,Casey (C)
Tinternvale Primary School,Primary,Tintern Avenue,3135,03 9720 1215,Maroondah (C)
Grovedale West Primary School,Primary,85 Heyers Road,3216,03 5241 4774,Greater Geelong (C)
Baringa Special School,Special,47 Staff Street,3825,03 5127 1744,Latrobe (C)
Naranga Special School,Special,14 Naranga Crescent,3199,03 9788 2222,Frankston (C)
Kent Park Primary School,Primary,Greenaway Drive,3156,03 9763 8055,Knox (C)
Deer Park North Primary School,Primary,18-36 Mawson Avenue,3023,03 9363 4600,Brimbank (C)
Rosewood Downs Primary School,Primary,25 Murray Road,3175,03 9795 3744,Greater Dandenong (C)
Mooroopna Park Primary School,Primary,45 MacIsaac Road,3629,03 5825 3856,Greater Shepparton (C)
Coburn Primary School,Primary,26 - 44 Richard Road,3338,03 9971 2900,Melton (C)
Manorvale Primary School,Primary,232-246 Greaves St North,3030,03 9741 6300,Wyndham (C)
Gladstone Views Primary School,Primary,195 - 227 Carrick Drive,3043,03 9338 6083,Hume (C)
Wheelers Hill Primary School,Primary,134-148 Whites Lane,3150,03 9561 3457,Monash (C)
Ashwood School,Special,Montpellier Road,3147,03 9808 7444,Monash (C)
Broadmeadows Valley Primary School,Primary,Dimboola Road,3047,03 9309 4066,Hume (C)
Bulleen Heights School,Special,49-61 Pleasant Road,3105,03 9850 7122,Manningham (C)
Kingston Heath Primary School,Primary,25 Farm Road,3192,03 9584 5805,Kingston (C)
Andersons Creek Primary School,Primary,36-42 Drysdale Road,3113,03 9844 2757,Manningham (C)
Waverley Meadows Primary School,Primary,11 Columbia Drive,3150,03 9561 2879,Monash (C)
Kingswood Primary School,Primary,1-25 Plaza Crescent,3172,03 9551 1727,Kingston (C)
Ascot Vale Special School,Special,1 Tasma Street,3032,03 9370 8906,Moonee Valley (C)
Camelot Rise Primary School,Primary,Galahad Crescent,3150,03 9803 5344,Monash (C)
Livingstone Primary School,Primary,25 - 29 Livingstone Road,3133,03 9803 7673,Whitehorse (C)
Churchill North Primary School,Primary,Blackwood Crescent,3842,03 5122 1976,Latrobe (C)
St Albans Meadows Primary School,Primary,2A Laurel Street,3021,03 9364 6144,Brimbank (C)
Silverton Primary School,Primary,77-123 Jacksons Road,3174,03 9795 5033,Greater Dandenong (C)
Kalinda Primary School,Primary,39-49 Kalinda Road,3134,03 9876 3289,Maroondah (C)
Whittington Primary School,Primary,Solar Drive,3219,03 5248 1795,Greater Geelong (C)
Coldstream Primary School,Primary,Kelso Street,3770,03 9739 1680,Yarra Ranges (S)
Templestowe Park Primary School,Primary,399-409 Church Road,3106,03 9846 2700,Manningham (C)
River Gum Primary School,Primary,63 Fordholm Road,3976,03 9799 1216,Casey (C)
Regency Park Primary School,Primary,Amesbury Avenue,3152,03 9801 3614,Knox (C)
Dorset Primary School,Primary,1-11 Rescorla Avenue,3136,03 9725 5038,Maroondah (C)
Eastbourne Primary School,Primary,Allambi Avenue,3940,03 5986 4884,Mornington Peninsula (S)
Thomastown Meadows Primary School,Primary,13-21 Diplomat Drive,3074,03 9466 1322,Whittlesea (C)
Kingsley Park Primary School,Primary,Franciscan Avenue,3199,03 9789 0077,Frankston (C)
James Cook Primary School,Primary,29-59 James Cook Drive,3802,03 9700 2601,Casey (C)
Movelle Primary School,Primary,39 Gum Road,3021,03 9366 8892,Brimbank (C)
Mount Eliza North Primary School,Primary,6 Moseley Drive,3930,03 9787 6611,Mornington Peninsula (S)
Melrose Primary School,Primary,25 Silva Drive,3690,02 6059 1955,Wodonga (C)
Yarrabah School,Special,23 Mill Street,3195,03 9580 0384,Kingston (C)
Frankston Special Developmental School,Special,Sassafras Drive,3199,03 9789 6844,Frankston (C)
Waratah Special Developmental School,Special,228 Banksia Street,3081,03 9474 8700,Banyule (C)
Port Phillip Specialist School,Special,Cnr Nott & Pool Streets,3207,03 9646 0855,Port Phillip (C)
Cobram and District Specialist School,Special,4-8 Hume Street,3644,03 5872 1643,Moira (S)
Monash Special Developmental School,Special,15-25 Academy Avenue,3150,03 9239 7400,Monash (C)
Iramoo Primary School,Primary,261 - 269 Mcgrath Road,3024,03 9741 2803,Wyndham (C)
Verney Road School,Special,2 Verney Road,3630,03 5821 8185,Greater Shepparton (C)
Weeden Heights Primary School,Primary,41-51 Weeden Drive,3133,03 9802 0663,Whitehorse (C)
Mill Park Primary School,Primary,Blamey Avenue,3082,03 9404 3337,Whittlesea (C)
Diamond Valley Special Developmental School,Special,14-24 Brentwick Drive,3088,03 9432 1022,Nillumbik (S)
Melton Specialist School,Special,159-211 Coburns Road,3337,03 9743 4966,Melton (C)
Springvale Park Special Developmental School,Special,13-15 Sandown Road,3171,03 9546 7666,Greater Dandenong (C)
Warringa Park School,Special,81 Warringa Crescent,3029,03 9749 5774,Wyndham (C)
Serpell Primary School,Primary,Tuckers Road,3106,03 9842 8182,Manningham (C)
Mount Martha Primary School,Primary,37 - 55 Glenisla Drive,3934,03 5974 2800,Mornington Peninsula (S)
Altona Meadows Primary School,Primary,78-88 Alma Avenue,3028,03 9369 1288,Hobsons Bay (C)
The Patch Primary School,Primary,53 Kallista-Emerald Road,3792,03 9756 7463,Yarra Ranges (S)
Sale and District Specialist School,Special,333 Princes Highway,3850,03 5144 5644,Wellington (S)
Jells Park Primary School,Primary,17-33 Petronella Avenue,3150,03 9560 6494,Monash (C)
Albanvale Primary School,Primary,54-64 Diamond Avenue,3021,03 9367 2197,Brimbank (C)
Kismet Park Primary School,Primary,Mcewen Drive,3429,03 9744 4566,Hume (C)
Kunyung Primary School,Primary,50 Kunyung Road,3930,03 9787 6102,Mornington Peninsula (S)
Apollo Parkways Primary School,Primary,31-43 Civic Drive,3088,03 9433 1300,Nillumbik (S)
Mandama Primary School,Primary,10 Corang Avenue,3216,03 5243 0820,Greater Geelong (C)
Bethal Primary School,Primary,26-52 Eldorado Crescent,3048,03 9309 7626,Hume (C)
Cranbourne West Primary School,Primary,110 Duff Street,3977,03 5996 2878,Casey (C)
Patterson Lakes Primary School,Primary,130-148 Gladesville Boulevard,3197,03 9772 4011,Kingston (C)
Seaford Park Primary School,Primary,141 East Road,3198,03 9786 5197,Frankston (C)
Billanook Primary School,Primary,270 Sheffield Road,3765,03 9728 2624,Yarra Ranges (S)
Chirnside Park Primary School,Primary,66 Kimberley Drive,3116,03 9727 3466,Yarra Ranges (S)
Bass Valley Primary School,Primary,70 Corinella Road,3984,03 5678 0208,Bass Coast (S)
Templeton Primary School,Primary,Crestdale Road,3152,03 9801 7450,Knox (C)
Sunbury Heights Primary School,Primary,Charter Road East,3429,03 9744 3377,Hume (C)
Darley Primary School,Primary,21 Nelson Street,3340,03 5367 1558,Moorabool (S)
Delacombe Primary School,Primary,110-120 Greenhalghs Road,3356,03 5335 6103,Ballarat (C)
Wallaroo Primary School,Primary,Stalwart Avenue,3915,03 5979 2654,Mornington Peninsula (S)
Mossgiel Park Primary School,Primary,71 Scotsburn Way,3802,03 9709 7777,Casey (C)
Wedge Park Primary School,Primary,27 Cambrian Way,3337,03 9743 7595,Melton (C)
Appin Park Primary School,Primary,149 Appin Street,3677,03 5722 1326,Wangaratta (RC)
Croydon Special Developmental School,Special,71-95 Belmont Road East,3136,03 9725 4933,Maroondah (C)
Milgate Primary School,Primary,96 Landscape Drive,3109,03 9842 7744,Manningham (C)
Berwick Lodge Primary School,Primary,139-145 Mansfield Street,3806,03 9707 1766,Casey (C)
Furlong Park School For Deaf Children,Special,58 - 84 Furlong Road,3020,03 9312 3244,Brimbank (C)
Jennings Street School,Special,4 Jennings Street,3028,03 9360 9322,Hobsons Bay (C)
Sunbury And Macedon Ranges Specialist School,Special,127-143 Circular Drive,3429,03 9744 4879,Hume (C)
Northern School For Autism,Special,16-18 Gertz Ave,3073,03 9462 5990,Darebin (C)
Latrobe Special Developmental School,Special,Hickox Street,3844,03 5174 1956,Latrobe (C)
Belvoir Wodonga Special Developmental School,Special,54 Gayview Drive,3690,02 6059 8987,Wodonga (C)
Burwood East Special Developmental School,Special,18 Manooka Street,3151,03 9803 4590,Whitehorse (C)
Wangaratta District Specialist School,Special,139 Appin Street,3677,03 5721 7424,Wangaratta (RC)
Meadow Heights Primary School,Primary,46-62 Paringa Boulevard,3048,03 9305 2033,Hume (C)
Bundarra Primary School,Primary,Cnr Fawthrop & Edgar Streets,3305,03 5523 4122,Glenelg (S)
Peninsula Specialist College,Special,25 Old White Hill Road,3936,03 5987 2649,Mornington Peninsula (S)
Chalcot Lodge Primary School,Primary,Primrose Hill Close,3802,03 9700 4455,Casey (C)
Rangebank Primary School,Primary,14-36 Lesdon Avenue,3977,03 5996 8900,Casey (C)
Knox Gardens Primary School,Primary,80 Argyle Way,3152,03 9800 2320,Knox (C)
Southern Cross Primary School,Primary,1-21 David Collins Drive,3802,03 9700 4488,Casey (C)
Kings Park Primary School,Primary,128b Gillespie Road,3021,03 9367 6555,Brimbank (C)
Dandenong Valley Special Developmental School,Special,19-21 Victoria Road,3805,03 9704 4800,Casey (C)
Mornington Special Developmental School,Special,40 Robertson Drive,3931,03 5975 6111,Mornington Peninsula (S)
Bayside Special Developmental School,Special,4 Genoa Street,3189,03 9555 4155,Kingston (C)
Rolling Hills Primary School,Primary,52 Landscape Drive,3138,03 9726 4454,Yarra Ranges (S)
Craigieburn South Primary School,Primary,102 Hothlyn Drive,3064,03 9308 3133,Hume (C)
Findon Primary School,Primary,Cuthbert Drive,3082,03 9404 1362,Whittlesea (C)
Loch Sport Primary School,Primary,7 Charlies Street,3851,03 5146 0457,Wellington (S)
Yarra Ranges Special Developmental School,Special,20 Burdap Drive,3796,03 9736 2499,Yarra Ranges (S)
Colac Specialist School,Special,120A Wilson Street,3250,03 5231 1055,Colac-Otway (S)
Goonawarra Primary School,Primary,2-6 Gullane Drive,3429,03 9744 7137,Hume (C)
Mildura Specialist School,Special,341-357 Deakin Avenue,3500,03 5021 3311,Mildura (RC)
Southern Autistic School,Special,12 Margaretta Street,3165,03 9563 8139,Glen Eira (C)
Bellbridge Primary School,Primary,120 Bellbridge Drive,3029,03 9749 6161,Wyndham (C)
Croydon Hills Primary School,Primary,Campaspe Drive,3136,03 9725 1206,Maroondah (C)
Kurunjang Primary School,Primary,37-45 Mowbray Crescent,3337,03 9743 0633,Melton (C)
Langwarrin Park Primary School,Primary,19-27 Northgateway,3910,03 9775 7533,Frankston (C)
Taylors Lakes Primary School,Primary,21-35 Chichester Drive,3038,03 9390 3388,Brimbank (C)
Glen Katherine Primary School,Primary,39 Calendonia Drive,3095,03 9431 1599,Banyule (C)
Coburg Special Developmental School,Special,Cnr Bishop & Gaffney Streets,3058,03 9354 4366,Moreland (C)
Broadmeadows Special Developmental School,Special,29 - 35 Dimboola Rd,3047,03 9302 1244,Hume (C)
Sunshine Special Developmental School,Special,Ivory Court,3020,03 9311 4804,Brimbank (C)
Swan Hill Specialist School,Special,27-33 Yana Street,3585,03 5032 3683,Swan Hill (RC)
Richmond Primary School,Primary,85 Brighton Street,3121,03 9428 1909,Yarra (C)
Yarra Primary School,Primary,68-76 Davison Street,3121,03 9428 3286,Yarra (C)
Skene Street School Stawell,Special,7-13 Skene Street,3380,03 5358 2448,Northern Grampians (S)
Horsham Special School,Special,17 High Street North,3400,03 5381 1475,Horsham (RC)
Hampden Specialist School,Special,36 Grayland Street,3266,03 5595 1995,Corangamite (S)
Warrnambool Special Developmental School,Special,101 Hyland Street,3280,03 5561 1711,Warrnambool (C)
Yarraville Special Developmental School,Special,117 Blackwood Street,3013,03 9314 4919,Maribyrnong (C)
Clifton Springs Primary School,Primary,84-118 Jetty Road,3222,03 5251 3581,Greater Geelong (C)
Park Ridge Primary School,Primary,Wentworth Avenue,3178,03 9752 8555,Knox (C)
Portland Bay School,Special,77 Henty Street,3305,03 5523 2218,Glenelg (S)
Hamilton Parklands School,Special,15 Kerr Street,3300,03 5572 3077,Southern Grampians (S)
Merriang Special Developmental School,Special,11 Duncan Road,3075,03 9464 3011,Whittlesea (C)
Orchard Grove Primary School,Primary,101 Orchard Grove,3130,03 9894 3400,Whitehorse (C)
Meadowglen Primary School,Primary,22-48 Meadow Glen Drive,3076,03 9408 6222,Whittlesea (C)
Altona Green Primary School,Primary,240 Victoria Street,3028,03 9360 0777,Hobsons Bay (C)
Boroondara Park Primary School,Primary,40 Almond Street,3104,03 9857 5157,Boroondara (C)
Warragul & District Specialist School,Special,55 Burke Street,3820,03 5623 1385,Baw Baw (S)
Western Autistic School,Special,1 Burnley Street,3028,03 9097 2000,Hobsons Bay (C)
Warracknabeal Special Developmental School,Special,5 Werrigar Street,3393,03 5398 2564,Yarriambiack (S)
Coral Park Primary School,Primary,145 Coral Drive,3976,03 9702 8398,Casey (C)
Maramba Primary School,Primary,Maramba Drive,3805,03 9796 7150,Casey (C)
Thomas Mitchell Primary School,Primary,67-77 Thomas Mitchell Drive,3802,03 9706 2254,Casey (C)
Karoo Primary School,Primary,Karoo Road,3178,03 9759 6222,Knox (C)
Mackellar Primary School,Primary,29-35 Goldsmith Avenue,3037,03 9364 0200,Brimbank (C)
Bendigo Special Developmental School,Special,26-32 Lockwood Road,3555,03 5447 3267,Greater Bendigo (C)
Echuca Specialist School,Special,High Street South,3564,03 5482 2769,Campaspe (S)
Aspendale Gardens Primary School,Primary,96 Kearney Drive,3195,03 9587 0877,Kingston (C)
Berwick Fields Primary School,Primary,35 Gwendoline Drive,3806,03 8786 9988,Casey (C)
Brentwood Park Primary School,Primary,Bemersyde Drive,3806,03 9702 2022,Casey (C)
Eastern Ranges School,Special,56 Dorset Road,3156,03 9758 3772,Knox (C)
Cambridge Primary School,Primary,Carruthers Drive,3029,03 9748 9011,Wyndham (C)
Rowellyn Park Primary School,Primary,Rowellyn Avenue,3201,03 9782 0953,Frankston (C)
Baden Powell P-9 College,Pri/Sec,Sycamore Street,3029,03 9748 8688,Wyndham (C)
Woodlands Primary School,Primary,10 Gum Nut Drive,3910,03 9788 8333,Frankston (C)
Mill Park Heights Primary School,Primary,87-93 Pindari Avenue,3082,03 9436 8866,Whittlesea (C)
Monmia Primary School,Primary,Copernicus Way,3038,03 9364 1007,Brimbank (C)
Seabrook Primary School,Primary,83-105 Point Cook Road,3028,03 9395 1758,Hobsons Bay (C)
Willmott Park Primary School,Primary,54 Dorchester Street,3064,03 9305 6639,Hume (C)
Thomas Chirnside Primary School,Primary,85 Walls Road,3030,03 9741 0200,Wyndham (C)
Heany Park Primary School,Primary,Buckingham Drive,3178,03 9764 5533,Knox (C)
Ranfurly Primary School,Primary,348 Ontario Avenue,3500,03 5022 1299,Mildura (RC)
